Request_ID,Request_Timestamp,Request_Time,Day_Of_Week,Pickup_Area,Traffic_Level,Drivers_Available,Ride_Type,Weather,Wait_Time_Minutes
R000001,2025-06-17 10:43:00,10:43,Tuesday,City_Center,Medium,16.0,Standard,Clear,13.0
R000002,2025-06-20 00:02:00,00:02,Friday,Industrial,Low,7.0,Standard,Clear,14.0
R000003,2025-07-26 11:03:00,11:03,Saturday,City_Center,Medium,25.0,Standard,Clear,16.0
R000004,2025-07-15 15:46:00,15:46,Tuesday,Mall,Medium,9.0,Standard,Clear,13.0
R000005,2025-07-10 00:03:00,00:03,Thursday,University,Low,11.0,Standard,Clear,12.0
R000006,2025-07-28 21:12:00,21:12,Monday,Residential,Medium,22.0,Standard,Clear,10.0
R000007,2025-07-17 16:14:00,16:14,Thursday,University,High,11.0,Standard,Clear,19.0
R000008,2025-06-27 15:06:00,15:06,Friday,Mall,Medium,19.0,Shared,Clear,12.0
R000009,2025-07-28 14:35:00,14:35,Monday,Residential,Medium,14.0,Premium,Rainy,19.0
R000010,2025-07-14 21:56:00,21:56,Monday,Airport,Medium,18.0,Standard,Clear,12.0
R000011,2025-07-14 18:10:00,18:10,Monday,City_Center,High,15.0,Shared,Clear,16.0
R000012,2025-05-07 22:20:00,22:20,Wednesday,Airport,Low,21.0,Standard,Clear,8.0
R000013,2025-07-01 01:38:00,01:38,Tuesday,Mall,Low,7.0,Standard,Clear,16.0
R000014,2025-07-06 15:11:00,15:11,Sunday,Suburb,Medium,8.0,Shared,Rainy,21.0
R000015,2025-05-15 06:16:00,06:16,Thursday,University,Medium,16.0,Standard,Clear,13.0
R000016,2025-07-06 20:21:00,20:21,Sunday,Residential,Medium,11.0,Standard,Clear,16.0
R000017,2025-06-22 12:17:00,12:17,Sunday,Suburb,Medium,10.0,Premium,Stormy,24.0
R000018,2025-06-10 00:03:00,00:03,Tuesday,Mall,Low,9.0,Standard,Clear,13.0
R000019,2025-05-17 22:05:00,22:05,Saturday,City_Center,Low,16.0,Standard,Clear,8.0
R000020,2025-06-26 09:46:00,09:46,Thursday,Airport,High,14.0,Standard,Rainy,28.0
